Layer,Altitude-m,Travel time,Mass flow kg/s,Fuel-kg,CO2-kg,CO - kg,H2O-kg,BC-kg,NOX-kg
1,123,8.280278773,2564.935065,21238.37737,20049.02824,44.04414699,7943.153137,4.353867361,698.7112889
2,254,3.510177711,2564.935065,9003.377895,8499.188733,19.37887058,3367.263333,3.811429976,295.2248127
3,387,2.650766994,2564.935065,6799.045212,6418.29868,15.17682872,2542.842909,4.385384162,222.1977268
4,521,2.209288238,2564.935065,5666.680869,5349.346741,13.10476618,2119.338645,4.920567888,184.5647876
5,657,1.940996315,2564.935065,4978.529509,4699.731857,11.91959535,1861.970037,5.451489813,161.5929864
6,795,1.754271479,2564.935065,4499.592431,4247.615255,11.14549045,1682.847569,5.961959971,145.53538
7,934,1.606933525,2564.935065,4121.680146,3890.866058,10.55314985,1541.508375,6.416082094,132.8394842
8,1075,1.48765583,2564.935065,3815.740603,3602.05913,10.0926339,1427.086986,6.836535248,122.535355
9,1218,1.407740703,2564.935065,3610.763493,3408.560737,9.860272945,1350.425546,7.32984989,115.5269196
10,1363,1.330757831,2564.935065,3413.307422,3222.162207,9.618017655,1276.576976,7.753896695,108.8009661
11,1510,1.266647326,2564.935065,3248.868142,3066.931526,9.44121082,1215.076685,8.176318157,103.1653712
12,1659,1.215855538,2564.935065,3118.590502,2943.949434,9.341425991,1166.352848,8.622902739,98.64514973
13,1860,1.544047772,2564.935065,3960.382271,3738.600864,12.34055116,1481.182969,12.27718504,124.6154084
14,2118,1.845996824,2564.935065,4734.861985,4469.709714,15.48678658,1770.838382,16.71406281,147.9769844
15,2382,1.766638194,2564.935065,4531.31225,4277.558764,15.53877597,1694.710781,17.98930963,140.628596
16,2654,1.703264782,2564.935065,4368.763565,4124.112806,15.69434623,1633.917573,19.3244975,134.6035714
17,2932,1.641102747,2564.935065,4209.321981,3973.59995,15.82368319,1574.286421,20.56955341,128.7256964
18,3219,1.59731837,2564.935065,4097.017897,3867.584895,16.10701616,1532.284693,21.98050102,124.3212426
19,3665,2.3252157,2564.935065,5964.027282,5630.041754,25.04295056,2230.546203,36.43026664,178.7799183
20,4132,2.256379855,2564.935065,5787.467811,5463.369613,25.92322582,2164.512961,39.85636166,171.2575387
21,4623,2.215591291,2564.935065,5682.847793,5364.608316,27.12877879,2125.385074,43.78634224,165.8597377
22,5142,2.195082635,2564.935065,5630.24442,5314.950733,28.63091893,2105.711413,48.25119468,161.9137245
23,5692,2.186924079,2564.935065,5609.318254,5295.196432,30.37558021,2097.885027,53.2137325,158.7667048
24,6277,2.18900876,2564.935065,5614.665327,5300.244069,32.37528321,2099.884832,58.7387571,156.208271
25,6905,2.217551161,2564.935065,5687.874731,5369.353746,34.94061447,2127.265149,65.45795837,155.2981767
26,7582,2.261845097,2564.935065,5801.485801,5476.602596,37.99509081,2169.75569,73.31144224,155.1598675
27,8320,2.343150917,2564.935065,6010.029949,5673.468272,42.0221294,2247.751201,83.33908196,157.0781427
28,9409,3.256184454,2564.935065,8351.901683,7884.195189,63.85362913,3123.61123,130.9717382,210.7817451
29,10504,3.074120937,2564.935065,7884.920586,7443.365033,65.46376468,2948.960299,138.0386764,191.8732345
30,11578,2.850709196,2564.935065,7311.883976,6902.418473,65.41796355,2734.644607,141.0949878,171.4501522
31,12633,2.661451616,2564.935065,6826.450573,6444.16934,65.39603119,2553.092514,143.7309168,154.1260651
32,13674,2.509429915,2564.935065,6436.524782,6076.079394,65.68087348,2407.260268,146.6883998,139.7945599
33,14706,2.386716473,2564.935065,6121.772771,5778.953496,66.25961976,2289.543016,150.0446506,127.7463994
34,15731,2.282516557,2564.935065,5854.506754,5526.654376,66.96736096,2189.585526,146.3626689,117.2184952
35,16753,2.193184552,2564.935065,5625.375962,5310.354908,67.79590602,2103.89061,140.6343991,107.8878199
36,17773,2.116565624,2564.935065,5428.853387,5124.837597,68.74991352,2030.391167,135.7213347,99.55037749
37,18807,2.07808791,2564.935065,5330.160549,5031.671559,70.80691877,1993.480045,133.2540137,93.19372633
38,19855,2.04240708,2564.935065,5238.641536,4945.27761,72.8852197,1959.251935,130.9660384,87.06425785
39,20920,2.014838244,2564.935065,5167.929263,4878.525224,75.20370664,1932.805544,129.1982316,81.34837453
40,22004,1.992729508,2564.935065,5111.221789,4824.993369,77.70283813,1911.596949,127.7805447,75.88477654
41,23108,1.973807159,2564.935065,5062.687192,4779.17671,80.31851977,1893.44501,126.5671798,70.55310244
42,24240,1.969762191,2564.935065,5052.312114,4769.382635,83.58545161,1889.56473,126.3078028,65.6901621
43,25402,1.969041724,2564.935065,5050.464163,4767.63817,87.07606273,1888.873597,126.2616041,60.82450758
44,26596,1.97130885,2564.935065,5056.279193,4773.127558,90.79863924,1891.048418,126.4069798,55.9138522
45,27824,1.976264531,2564.935065,5068.990194,4785.126743,94.76173028,1895.802333,126.7247548,50.9190203
46,29085,1.979010287,2564.935065,5076.032878,4791.775037,98.73391551,1898.436296,126.9008219,45.70904156
47,30382,1.985784439,2564.935065,5093.408138,4808.177282,103.0355719,1904.934644,127.3352034,40.41542956
48,31716,1.993239643,2564.935065,5112.530254,4826.22856,107.5144662,1912.086315,127.8132563,34.94056551
49,33101,2.01996451,2564.935065,5181.077801,4890.937444,113.2614694,1937.723097,129.526945,29.48901099
50,34539,2.047300364,2564.935065,5251.192492,4957.125712,119.3249475,1963.945992,131.2798123,23.65832881
51,36030,2.072398864,2564.935065,5315.568516,5017.896679,125.5430972,1988.022625,132.8892129,17.40981578
52,37574,2.095408025,2564.935065,5374.585519,5073.60873,131.9159768,2010.094984,134.364638,10.75696419
53,39173,2.119071152,2564.935065,5435.279903,5130.904228,138.6202916,2032.794684,135.8819976,3.708355596
54,40825,2.13812725,2564.935065,5484.157556,5177.044733,142.5880965,2051.074926,137.1039389,0
55,42529,2.15415303,2564.935065,5525.262641,5215.847933,143.6568287,2066.448228,138.131566,0
56,44286,2.169315662,2564.935065,5564.153808,5252.561195,144.667999,2080.993524,139.1038452,0
57,46092,2.177068103,2564.935065,5584.038315,5271.33217,145.1849962,2088.43033,139.6009579,0
58,47946,2.183737332,2564.935065,5601.144454,5287.480365,145.6297558,2094.828026,140.0286114,0
59,49844,2.184662666,2564.935065,5603.517878,5289.720877,145.6914648,2095.715686,140.087947,0
60,51788,2.18692572,2564.935065,5609.322462,5295.200404,145.842384,2097.886601,140.2330616,0
61,53773,2.182688083,2564.935065,5598.4532,5284.939821,145.5597832,2093.821497,139.96133,0
62,55794,2.171033909,2564.935065,5568.561001,5256.721585,144.782586,2082.641814,139.214025,0
63,57846,2.154845089,2564.935065,5527.037729,5217.523616,143.702981,2067.112111,138.1759432,0
64,59924,2.133906607,2564.935065,5473.331882,5166.825297,142.3066289,2047.026124,136.833297,0
65,62021,2.106177175,2564.935065,5402.20769,5099.684059,140.4573999,2020.425676,135.0551922,0
66,64130,2.072188475,2564.935065,5315.028881,5017.387264,138.1907509,1987.820801,132.875722,0
67,66245,2.033406556,2564.935065,5215.555776,4923.484652,135.6044502,1950.61786,130.3888944,0
68,68392,2.02008411,2564.935065,5181.384567,4891.227032,134.7159988,1937.837828,129.5346142,0
69,70657,2.084836953,2564.935065,5347.471405,5048.013006,139.0342565,1999.954305,133.6867851,0
70,73180,2.269072048,2564.935065,5820.02246,5494.101202,151.320584,2176.6884,145.5005615,0
71,76357,2.795136679,1282.467532,3584.67204,3383.930405,93.20147303,1340.667343,89.61680099,0
72,80581,3.783021832,0,0,0,0,0,0,0