#Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,lat,lon,files,L,ime,SNR,distance,enhancement,enhancement_molno2,mean_signal,size,hour_after_launch,obs_time,time_delta,timestamp,L2_obs_time,L2_time_delta,time_delta_min
2023-140 ,2460198.03,2023 Sep 10 1247:00,Atlas V 551,G,AV-102,SILENT BARKER,SILENT BARKER,NROL-107,-,CC,SLC41,-,-,      -, ,    -, ,-,3.6,ULAL,OS,-,CG/G,Sat GEO O,Wire,-,-,28.46,-80.54,True,3.527329942977097,1674.7778777638855,8.360837346856178,0.2105423005635463,1.432167331465023e+17,10320.51514511474,4091906661328637.5,35.0,3,2023-09-10 12:59:03.144748032,0 days 00:12:03.144748032,2023-09-10 12:47:00,2023-09-10 13:17:39.312409,0 days 00:30:39.312409,30.655206816666666
2023-174 ,2460260.28,2023 Nov 11 1849:00,Falcon 9,FT5,272/B1071.12 F273,Transporter-9,Transporter-9,-,-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,2.635,SPX,OS,-,C,Sat SSO D,Wire,-,-,34.63,-120.61,True,3.908871686034274,3829.2561299373806,6.569154234472534,0.027763076759748,3.150928438401208e+17,21293.803732090688,3842595656586840.0,82.0,1,2023-11-11 18:30:51.147802112,-1 days +23:41:51.147802112,2023-11-11 18:49:00,2023-11-11 19:23:58.896388,0 days 00:34:58.896388,34.98160646666667
2023-F11  ,2460267.04,2023 Nov 18 1302:53?,Starship V1.0,-,B09/S25,Starship Flight 2,Ship 25,-,-,STB,OLP1,-,-,    148, ,    -, ,-,120.0,SPX,OF,S2U,C,Sat LEO S,nasaspaceflight.com,-,"St 2 underburn,destruct",25.9964,-97.1536,True,1.0222860759959569,3076.4813772166863,9.685040900218103,0.1778995976907177,8.847470007895293e+17,65414.20835162659,7311958684210986.0,121.0,2,2023-11-18 13:51:54.147196928,0 days 00:49:01.147196928,2023-11-18 13:02:53,2023-11-18 14:25:09.903244,0 days 01:22:16.903244,82.28172073333333
2023-F11  ,2460267.04,2023 Nov 18 1302:53?,Starship V1.0,-,B09/S25,Starship Flight 2,Ship 25,-,-,STB,OLP1,-,-,    148, ,    -, ,-,120.0,SPX,OF,S2U,C,Sat LEO S,nasaspaceflight.com,-,"St 2 underburn,destruct",25.9964,-97.1536,True,1.0222860759959569,208.38638780371627,6.765968155371545,0.1775748997888128,6.011597024115751e+16,4430.851000881925,5465088203741592.0,11.0,3,2023-11-18 14:31:59.137027072,0 days 01:29:06.137027072,2023-11-18 13:02:53,2023-11-18 15:05:11.859972,0 days 02:02:18.859972,122.31433286666667
2023-185 ,2460280.26,2023 Dec  1 1819,Falcon 9,FT5,279/B1061.17 F279,Project 425,Korea 425,-,-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,1.857,SPX,OS,-,C/OG,Sat SSO D,Wire,-,-,34.63,-120.61,True,2.626324628201956,551.4102024195419,5.52886293275552,0.2484667768233974,6.769438275248739e+16,4563.6952517326,2183689766209270.8,31.0,1,2023-12-01 18:57:51.152638976,0 days 00:38:51.152638976,2023-12-01 18:19:00,2023-12-01 19:50:58.902118,0 days 01:31:58.902118,91.98170196666666
2024-041 ,2460370.15,2024 Feb 29 1530:00,Falcon 9,FT5,306/B1076.11 F305,Starlink-144,Starlink Group 6-40,V2M  6-40 (23 Ku),-,CC,LC40,-,-,      -, ,    -, ,-,17.25,SPX,OS,-,C,Sat LEO D,Wire,-,-,28.46,-80.54,True,3.70026916876512,1129.1586144925393,7.4145783483035235,0.1633514874014009,9.197351133300718e+16,6633.028754091472,7074885487154399.0,13.0,2,2024-02-29 16:21:42.139034112,0 days 00:51:42.139034112,2024-02-29 15:30:00,2024-02-29 16:41:37.165710,0 days 01:11:37.165710,71.6194285
2024-043 ,2460374.42,2024 Mar  4 2205:00,Falcon 9,FT5,307/B1081.5  F307,Transporter-10,Transporter-10,-,-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,4.232,SPX,OS,-,C,Sat SSO D,Wire,-,-,34.63,-120.61,True,2.7610929110644165,553.983123735746,6.016472020702021,0.1619610312254181,6.462153303496056e+16,4361.197543270106,3231076651748028.0,20.0,1,2024-03-04 22:50:52.144293120,0 days 00:45:52.144293120,2024-03-04 22:05:00,2024-03-04 23:24:01.833999,0 days 01:19:01.833999,79.03056665000001
2024-054 ,2460391.37,2024 Mar 21 2055:09,Falcon 9,FT5,311/B1080.6  F313,Dragon CRS-30,Dragon C209.4,-,-,CC,LC40,-,-,      -, ,    -, ,-,17.87,SPX,OS,-,CX,Sat ISS D,Wire,-,-,28.46,-80.54,True,3.203483545146165,1226.2636817502869,6.75903276555842,0.1201914941762904,1.1537085246953293e+17,8320.541926336215,3978305257570101.0,29.0,1,2024-03-21 20:46:18.141458944,-1 days +23:51:09.141458944,2024-03-21 20:55:09,2024-03-21 21:06:13.168252,0 days 00:11:04.168252,11.069470866666668
2024-059 ,2460400.41,2024 Mar 30 2152:00,Falcon 9,FT5,316/B1076.12 F316,EUTELSAT 36D,EUTELSAT 36D,-,-,KSC,LC39A,-,-,      -, ,    -, ,-,5.0,SPX,OS,-,C,Sat STO O,Wire,-,-,28.6083,-80.6041,True,2.786130903922261,1287.0254252079835,7.487203422704182,0.0690536788786089,1.3928703549089758e+17,10040.97426258688,4096677514438164.0,34.0,1,2024-03-30 21:43:35.122939136,-1 days +23:51:35.122939136,2024-03-30 21:52:00,2024-03-30 22:03:30.150078,0 days 00:11:30.150078,11.5025013
2024-067 ,2460410.2,2024 Apr  9 1653,Delta 4H,B,D4-45/D389,USA 353,ORION 12?,NROL-70,-,CC,SLC37B,-,-,      -, ,    -, ,-,5.0,ULAB,OS,-,CG/G,Sat GEO O,Wire,-,-,28.46,-80.54,True,3.476379160830184,2046.4311146375237,7.820970237759448,0.2500285017295648,1.775588987590402e+17,12795.587688050102,4330704847781468.0,41.0,2,2024-04-09 17:10:42.143865088,0 days 00:17:42.143865088,2024-04-09 16:53:00,2024-04-09 17:30:37.172330,0 days 00:37:37.172330,37.61953883333333
2024-081 ,2460433.27,2024 May  2 1836,Falcon 9,FT5,324/B1061.20 F330,WV Legion 1/2,Maxar 1,-,-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,1.4,SPX,OS,-,C,Sat SSO D,Wire,-,-,34.63,-120.61,True,2.2683330968345103,2439.6217371515595,6.035785478768912,0.0588117462733462,3.457565298694356e+17,23377.922235386035,3059792299729518.5,113.0,1,2024-05-02 18:02:19.146555904,-1 days +23:26:19.146555904,2024-05-02 18:36:00,2024-05-02 18:55:23.867849,0 days 00:19:23.867849,19.39779748333333
2024-081 ,2460433.27,2024 May  2 1836,Falcon 9,FT5,324/B1061.20 F330,WV Legion 1/2,Maxar 1,-,-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,1.4,SPX,OS,-,C,Sat SSO D,Wire,-,-,34.63,-120.61,True,2.2683330968345103,568.0998394022708,5.714134499454797,0.1559735125705169,8.052391446656314e+16,5443.874214282142,2776686705743556.5,29.0,2,2024-05-02 19:02:19.142617856,0 days 00:26:19.142617856,2024-05-02 18:36:00,2024-05-02 19:55:23.864316,0 days 01:19:23.864316,79.3977386
2024-084 ,2460437.26,2024 May  6 1814:00,Falcon 9,FT5,335/B1069.15 F332,Starlink-163,Starlink Group 6-57,V2M  6-57 (23 Ku),-,CC,LC40,-,-,      -, ,    -, ,-,17.25,SPX,OS,-,C,Sat LEO D,Wire,-,-,28.46,-80.54,True,2.7391693887681496,951.3041807103832,7.001498066288771,0.1274062598367099,1.0467770454271757e+17,7549.023209907892,4187108181708702.5,25.0,1,2024-05-06 18:01:59.149463040,-1 days +23:47:59.149463040,2024-05-06 18:14:00,2024-05-06 18:21:54.178365,0 days 00:07:54.178365,7.90297275
2024-084 ,2460437.26,2024 May  6 1814:00,Falcon 9,FT5,335/B1069.15 F332,Starlink-163,Starlink Group 6-57,V2M  6-57 (23 Ku),-,CC,LC40,-,-,      -, ,    -, ,-,17.25,SPX,OS,-,C,Sat LEO D,Wire,-,-,28.46,-80.54,True,2.7391693887681496,525.5012305402497,6.339361536200251,0.0763963116924651,5.778428710144756e+16,4170.086778364776,3852285806763170.5,15.0,2,2024-05-06 19:01:59.148785152,0 days 00:47:59.148785152,2024-05-06 18:14:00,2024-05-06 19:21:54.177640,0 days 01:07:54.177640,67.90296066666666
2024-086 ,2460439.28,2024 May  8 1842:00,Falcon 9,FT5,334/B1083.3  F333,Starlink-164,Starlink Group 6-56,V2M  6-56 (23 Ku),-,KSC,LC39A,-,-,      -, ,    -, ,-,17.25,SPX,OS,-,C,Sat LEO D,Wire,-,-,28.6083,-80.6041,True,3.312249622122652,1316.106222692532,7.340269914272605,0.061892143636683,1.1985094506888304e+17,8636.904712140846,5447770230403775.0,22.0,2,2024-05-08 19:01:52.155646976,0 days 00:19:52.155646976,2024-05-08 18:42:00,2024-05-08 19:21:47.184557,0 days 00:39:47.184557,39.786409283333334
2024-109 ,2460467.12,2024 Jun  5 1452:15,Atlas V N22,-,AV-085,Starliner CFT,Starliner SC3,-,-,CC,SLC41,-,-,      -, ,    -, ,-,12.0,ULAL,OS,-,CX/C,Sat ISS D,Wire,-,-,28.46,-80.54,True,2.849637138280859,899.4655972539779,6.111226016314019,0.1479495996209816,9.511773294426323e+16,6860.965568820783,3658374344010125.0,26.0,2,2024-06-05 15:09:57.154941952,0 days 00:17:42.154941952,2024-06-05 14:52:15,2024-06-05 15:29:52.185156,0 days 00:37:37.185156,37.6197526
2024-109 ,2460467.12,2024 Jun  5 1452:15,Atlas V N22,-,AV-085,Starliner CFT,Starliner SC3,-,-,CC,SLC41,-,-,      -, ,    -, ,-,12.0,ULAL,OS,-,CX/C,Sat ISS D,Wire,-,-,28.46,-80.54,True,2.849637138280859,915.7818509431202,7.936568203631663,0.2359375802924822,9.685496892194736e+16,6985.423085723167,4211085605302059.0,23.0,3,2024-06-05 16:09:57.151315968,0 days 01:17:42.151315968,2024-06-05 14:52:15,2024-06-05 16:29:52.181012,0 days 01:37:37.181012,97.61968353333333
2024-U04  ,2460597.02,2024 Oct 13 1225:00,Starship V1.0,-,B12/S30,Starship Flight 5,Ship 30,-,-,STB,OLP1,-,-,    213, ,    -, ,-,120.0,SPX,OS,-,C,Sat LEO S,nasaspaceflight.com,-,-,25.9964,-97.1536,True,1.00005628497324,1193.1320355933965,6.954720131657853,0.1884086337378949,3.515808089217299e+17,25933.092433911785,4185485820496785.0,84.0,2,2024-10-13 13:14:46.142352128,0 days 00:49:46.142352128,2024-10-13 12:25:00,2024-10-13 13:47:55.836274,0 days 01:22:55.836274,82.93060456666667
2024-U04  ,2460597.02,2024 Oct 13 1225:00,Starship V1.0,-,B12/S30,Starship Flight 5,Ship 30,-,-,STB,OLP1,-,-,    213, ,    -, ,-,120.0,SPX,OS,-,C,Sat LEO S,nasaspaceflight.com,-,-,25.9964,-97.1536,True,1.00005628497324,510.8004133995578,7.649190286839922,0.2078723193202697,1.5053414437373037e+17,11102.40437839133,4181504010381399.0,36.0,3,2024-10-13 13:54:51.146076928,0 days 01:29:51.146076928,2024-10-13 12:25:00,2024-10-13 14:28:09.939031,0 days 02:03:09.939031,123.16565051666666
2024-182 ,2460598.17,2024 Oct 14 1606:00,Falcon Heavy,-,011/B1089.1,Europa Clipper,Europa Clipper,"B1064.6,B1065.6",-,KSC,LC39A,-,-,      -, ,    -, ,-,5.7,SPX,DS,-,CX/G,Sat EEO E,SpaceX,-,-,28.6083,-80.6041,True,4.234157673028788,6155.435562376582,7.219593734287294,0.2062926848015737,4.376733392112996e+17,31599.63075073187,4917677968666287.0,89.0,1,2024-10-14 16:54:37.147229952,0 days 00:48:37.147229952,2024-10-14 16:06:00,2024-10-14 17:14:32.176280,0 days 01:08:32.176280,68.53627133333333
2024-192 ,2460608.22,2024 Oct 24 1714,Falcon 9,FT5,382/B1063.21 F386,NROL-167,NRO Starshield A4,NRO PA04 (17),-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,15.5,SPX,OS,-,CX/G,Sat LEO D,SpaceX,-,-,34.63,-120.61,True,3.7115897116899466,1205.313927632623,5.960322154778859,0.1391005064182666,1.0444068540184896e+17,7058.7931836509615,3369054367801579.5,31.0,1,2024-10-24 17:52:52.022741504,0 days 00:38:52.022741504,2024-10-24 17:14:00,2024-10-24 18:45:59.778463,0 days 01:31:59.778463,91.99630771666666
2024-192 ,2460608.22,2024 Oct 24 1714,Falcon 9,FT5,382/B1063.21 F386,NROL-167,NRO Starshield A4,NRO PA04 (17),-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,15.5,SPX,OS,-,CX/G,Sat LEO D,SpaceX,-,-,34.63,-120.61,True,3.7115897116899466,478.2155128035059,5.6947506731298505,0.2795291837397525,4.15484165113862e+16,2800.6184320160105,2967744036527585.0,14.0,2,2024-10-24 18:52:52.027792640,0 days 01:38:52.027792640,2024-10-24 17:14:00,2024-10-24 19:45:56.751623,0 days 02:31:56.751623,151.94586038333333
2024-192 ,2460608.22,2024 Oct 24 1714,Falcon 9,FT5,382/B1063.21 F386,NROL-167,NRO Starshield A4,NRO PA04 (17),-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,15.5,SPX,OS,-,CX/G,Sat LEO D,SpaceX,-,-,34.63,-120.61,True,3.7115897116899466,555.8818490701137,6.369660517746974,0.2938825384720408,4.80470841171803e+16,3255.463093202879,3002942757323769.0,16.0,3,2024-10-24 19:52:52.033610496,0 days 02:38:52.033610496,2024-10-24 17:14:00,2024-10-26 21:06:09.857447,2 days 03:52:09.857447,3112.164290783333
2024-210 ,2460629.06,2024 Nov 14 1321:00,Falcon 9,FT5,399/B1076.18 F396,Starlink-208,Starlink Group 6-68,V2M  6-68 (24 Ku),-,CC,LC40,-,-,      -, ,    -, ,-,17.5,SPX,OS,-,C,Sat LEO D,Wire,-,-,28.46,-80.54,True,3.780480002652719,944.7106278295854,6.003375501834607,0.2000173795051,7.534953754407155e+16,5431.779114654651,4186085419115086.5,18.0,2,2024-11-14 13:43:12.033726720,0 days 00:22:12.033726720,2024-11-14 13:21:00,2024-11-14 14:03:04.030812,0 days 00:42:04.030812,42.0671802
2024-234 ,2460650.17,2024 Dec  5 1610,Falcon 9,FT5,409/B1076.19 F408,SXM-9,SXM-9,-,-,KSC,LC39A,-,-,      -, ,    -, ,-,4.5,SPX,OS,-,C,Sat STO O,SpaceX,-,-,28.6083,-80.6041,True,4.363814187302464,14716.906224834132,6.5110250356397845,0.0862080335443236,1.0174613221286134e+18,73306.16796059118,4799345859097233.0,212.0,3,2024-12-05 18:35:41.027558656,0 days 02:25:41.027558656,2024-12-05 16:10:00,2024-12-05 18:55:36.056631,0 days 02:45:36.056631,165.60094385
2025-006 ,2460686.3,2025 Jan 10 1911:20,Falcon 9,FT5,424/B1067.25 F423,Starlink-225,Starlink Group 12-12,"V2M  12-12 (13 DTC,8 Ku)",-,CC,LC40,-,-,      -, ,    -, ,-,17.5,SPX,OS,-,C,Sat LEO D,Wire,-,-,28.46,-80.54,True,4.101285444635662,594.7633923133588,5.95148602523004,0.3105005333592928,4.375840015786988e+16,3152.2051775176747,3978036377988171.0,11.0,1,2025-01-10 19:52:43.021216512,0 days 00:41:23.021216512,2025-01-10 19:11:20,2025-01-10 20:12:38.050733,0 days 01:01:18.050733,61.30084555
2025-015 ,2460697.16,2025 Jan 21 1545:50,Falcon 9,FT5,429/B1082.10 F428,Starlink-228,Starlink Group 11-8,V2MO 11-8  (27 Ku),-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,15.5,SPX,OS,-,C,Sat LEO D,SpaceX,-,-,34.63,-120.61,True,2.121688372549436,2266.4491345194274,6.259400644614342,0.0278183829322125,3.435343138130042e+17,23219.59419055187,4089694212059574.5,84.0,2,2025-01-21 15:56:30.029582592,0 days 00:10:40.029582592,2025-01-21 15:45:50,2025-01-21 16:49:34.754636,0 days 01:03:44.754636,63.7459106
2025-027 ,2460715.3,2025 Feb  8 1918:30,Falcon 9,FT5,438/B1078.17 F435,Starlink-233,Starlink Group 12-9,"V2M  12-3  (13 DTC,8 Ku)",-,CC,LC40,-,-,      -, ,    -, ,-,17.5,SPX,OS,-,C,Sat LEO D,Wire,-,-,28.46,-80.54,True,4.895915231465219,2627.2898747390545,7.1324562864334125,0.1602687006769343,1.6177698395193424e+17,11664.452186437997,4257289051366690.5,38.0,1,2025-02-08 19:23:21.024698368,0 days 00:04:51.024698368,2025-02-08 19:18:30,2025-02-08 19:43:16.053964,0 days 00:24:46.053964,24.767566066666667
2025-057 ,2460753.33,2025 Mar 18 1957:50,Falcon 9,FT5,xxx/B1077.19 F450,Starlink-244,Starlink Group 12-25,"V2MO 12-25(13 DTC,10 Ku)",-,CC,LC40,-,-,      -, ,    -, ,-,17.5,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.46,-80.54,True,3.357417797827743,1748.9363834083665,6.593675836860008,0.122090118053508,1.567666148924779e+17,11322.931217248586,3335459891329317.0,47.0,2,2025-03-18 20:17:10.028413440,0 days 00:19:20.028413440,2025-03-18 19:57:50,2025-03-18 20:37:05.058043,0 days 00:39:15.058043,39.25096738333333
2025-087 ,2460794.36,2025 Apr 28 2042:20,Falcon 9,FT5,xxx/B1063.25 F467,Starlink-254,Starlink Group 11-9,V2MO 11-9  (27 Ku),-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,15.5,SPX,OS,-,C,Sat LEO D,SpaceX,-,-,34.63,-120.61,True,2.1345261042027563,266.8586343715207,5.556232065186258,0.0550009155377156,4.021154137142373e+16,2717.5030097255467,2513221335713983.0,16.0,3,2025-04-28 22:06:36.014276608,0 days 01:24:16.014276608,2025-04-28 20:42:20,2025-04-28 22:19:56.743779,0 days 01:37:36.743779,97.61239631666668
2025-094 ,2460805.51,2025 May 10 0019:50,Falcon 9,FT5,xxx/B1081.14 F472,Starlink-259,Starlink Group 15-3,V2MO 15-3  (26 Ku),-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,15.5,SPX,OS,-,C,Sat LEO D,SpaceX,-,-,34.63,-120.61,True,2.932189717075837,2227.16729542242,6.402425657484598,0.126911641609587,2.445768546169687e+17,16510.150006498603,3596718450249540.0,68.0,1,2025-05-10 00:11:36.019709696,-1 days +23:51:46.019709696,2025-05-10 00:19:50,2025-05-10 00:44:57.845088,0 days 00:25:07.845088,25.130751466666666
2025-101 ,2460810.19,2025 May 14 1638:50,Falcon 9,FT5,xxx/B1090.4  F476,Starlink-263,Starlink Group 6-67,V2MO 6-67  (28 Ku),-,CC,LC40,-,-,      -, ,    -, ,-,16.5,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.46,-80.54,True,2.5496889768196485,570.3465820125085,6.202793861238082,0.1252724700343493,6.739716406154952e+16,4862.301464803581,5184397235503809.0,13.0,1,2025-05-14 16:18:57.026721536,-1 days +23:40:07.026721536,2025-05-14 16:38:50,2025-05-14 16:38:52.056470,0 days 00:00:02.056470,0.0342745
2025-U02  ,2460823.48,2025 May 27 2336:29?,Starship V2,R2,B14.2/S35,Starship Flight 9,Ship 35,-,-,STB,OLP1,-,-,    189, ,    -, ,-,120.0,SPX,OS,-,C,Sat LEO S,nasaspaceflight.com,-,-,25.9964,-97.1536,True,3.609276214533984,8283.889031025688,9.707278932037266,0.0433600423770405,6.760893922963507e+17,49888.95395540216,3735300509924589.5,181.0,2,2025-05-27 23:55:56.032533760,0 days 00:19:27.032533760,2025-05-27 23:36:29,2025-05-28 00:09:16.762792,0 days 00:32:47.762792,32.79604653333333
2025-113 ,2460824.06,2025 May 28 1330:00,Falcon 9,FT5,xxx/B1080.19 F482,Starlink-269,Starlink Group 10-32,V2MO 10-32,-,KSC,LC39A,-,-,      -, ,    -, ,-,17.5,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.6083,-80.6041,True,5.193816295090108,1418.549788090877,6.9451553684849685,0.0668694758658589,8.234071415413253e+16,5936.742927290473,3920986388292025.0,21.0,1,2025-05-28 13:15:32.024788736,-1 days +23:45:32.024788736,2025-05-28 13:30:00,2025-05-28 13:35:27.054416,0 days 00:05:27.054416,5.450906933333333
2025-113 ,2460824.06,2025 May 28 1330:00,Falcon 9,FT5,xxx/B1080.19 F482,Starlink-269,Starlink Group 10-32,V2MO 10-32,-,KSC,LC39A,-,-,      -, ,    -, ,-,17.5,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.6083,-80.6041,True,5.193816295090108,967.8411672970948,6.341107854233892,0.2149023274238502,5.623441441425763e+16,4050.4917437014815,4016743886732688.0,14.0,2,2025-05-28 14:15:32.025204736,0 days 00:45:32.025204736,2025-05-28 13:30:00,2025-05-28 14:35:27.055399,0 days 01:05:27.055399,65.45092331666666
2025-124 ,2460837.05,2025 Jun 10 1305:40,Falcon 9,FT5,xxx/B1083.12 F489,Starlink-274,Starlink Group 12-24,V2MO 12-24,-,CC,LC40,-,-,      -, ,    -, ,-,16.5,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.46,-80.54,True,4.140605694797327,1332.9301702630391,8.006395227672053,0.1909994982031782,9.709050714276226e+16,6997.352747655144,4623357482988679.0,21.0,1,2025-06-10 13:15:20.036295680,0 days 00:09:40.036295680,2025-06-10 13:05:40,2025-06-10 13:35:15.065616,0 days 00:29:35.065616,29.584426933333337
2025-127 ,2460840.15,2025 Jun 13 1529:00,Falcon 9,FT5,xxx/B1078.21 F491,Starlink-276,Starlink Group 12-26,V2MO 12-26,-,CC,LC40,-,-,      -, ,    -, ,-,16.5,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.46,-80.54,True,3.954080919766479,816.4871840656479,6.451162634060073,0.2799330891826784,6.20618570630662e+16,4488.425947084443,3650697474298012.0,17.0,1,2025-06-13 15:05:38.029690624,-1 days +23:36:38.029690624,2025-06-13 15:29:00,2025-06-13 15:25:33.058921,-1 days +23:56:33.058921,-3.4490179833333334
2025-137 ,2460852.33,2025 Jun 25 1954:50,Falcon 9,FT5,xxx/B1080.20 F497,Starlink-280,Starlink Group 10-16,V2MO 10-16,-,CC,LC40,-,-,      -, ,    -, ,-,16.5,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.46,-80.54,True,2.7680522925137776,2948.6659334031806,8.302853373506249,0.1729773217649928,3.2091220295376026e+17,23154.826273570237,5730575052745719.0,56.0,2,2025-06-25 20:08:10.029777408,0 days 00:13:20.029777408,2025-06-25 19:54:50,2025-06-25 20:28:05.058568,0 days 00:33:15.058568,33.25097613333333
2025-176 ,2460902.02,2025 Aug 14 1229:30,Falcon 9,FT5,xxx/B1085.10 F517,Starlink-293,Starlink Group 10-20,V2MO 10-20,-,CC,LC40,-,-,      -, ,    -, ,-,16.1,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.46,-80.54,True,3.0519014928020654,3064.8382977019,5.873738598297784,0.1189349074696774,3.0265729185767443e+17,21828.67119487247,3982332787600980.0,76.0,3,2025-08-14 13:23:15.023139584,0 days 00:53:45.023139584,2025-08-14 12:29:30,2025-08-14 13:43:10.051821,0 days 01:13:40.051821,73.66753035
2025-188 ,2460914.29,2025 Aug 26 1853:41,Falcon 9,FT5,xxx/B1063.27 F522,NAOS,NAOS,-,-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,1.35,SPX,OS,-,C/OG,Sat SSO D,SpaceX,-,-,34.63,-120.61,True,3.087145417592071,379.6293972496102,5.599653538856736,0.2386030102252799,3.961928355224932e+16,2672.963283573405,2476205222015582.5,16.0,3,2025-08-26 20:50:22.021228544,0 days 01:56:41.021228544,2025-08-26 18:53:41,2025-08-26 21:43:26.746268,0 days 02:49:45.746268,169.76243780000001
2025-U03  ,2460914.48,2025 Aug 26 2330:03?,Starship V2,R2,B16/S37,Starship Flight 10,Ship 37,-,-,STB,OLP1,-,-,    192, ,    -, ,-,120.0,SPX,OS,-,C,Sat LEO S,nasaspaceflight.com,-,-,25.9964,-97.1536,True,2.881946218024451,6357.762407430878,8.427706340137526,0.080597896064254,6.500526371652506e+17,47952.21436990436,3915979741959341.0,166.0,1,2025-08-26 23:30:30.019876608,0 days 00:00:27.019876608,2025-08-26 23:30:03,2025-08-26 23:43:50.750407,0 days 00:13:47.750407,13.795840116666666
2025-189 ,2460914.97,2025 Aug 27 1110:40,Falcon 9,FT5,xxx/B1095.2  F523,Starlink-296,Starlink Group 10-56,V2MO 10-56,-,CC,LC40,-,-,      -, ,    -, ,-,16.1,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.46,-80.54,True,1.063772664123182,1888.2677649349,5.699253342819364,0.0670885061508746,5.346728685566621e+17,38583.80003581232,3874441076497552.0,138.0,1,2025-08-27 11:49:40.025605632,0 days 00:39:00.025605632,2025-08-27 11:10:40,2025-08-27 12:09:35.055389,0 days 00:58:55.055389,58.91758981666667
2025-189 ,2460914.97,2025 Aug 27 1110:40,Falcon 9,FT5,xxx/B1095.2  F523,Starlink-296,Starlink Group 10-56,V2MO 10-56,-,CC,LC40,-,-,      -, ,    -, ,-,16.1,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.46,-80.54,True,1.063772664123182,232.94147741029565,6.304678142811948,0.1250410038009469,6.599993420773018e+16,4759.794956704885,3666663011540565.5,18.0,2,2025-08-27 12:29:48.027069696,0 days 01:19:08.027069696,2025-08-27 11:10:40,2025-08-27 12:49:43.056450,0 days 01:39:03.056450,99.05094083333333
2025-192 ,2460918.99,2025 Aug 31 1149:00,Falcon 9,FT5,xxx/B1077.23 F526,Starlink-299,Starlink Group 10-14,V2MO 10-14,-,CC,LC40,-,-,      -, ,    -, ,-,16.1,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.46,-80.54,True,3.289410178177928,1077.7916627119523,7.191590241473085,0.1147712008095087,9.874764545952534e+16,7122.083036099418,4702268831405969.0,21.0,1,2025-08-31 11:48:27.020503552,-1 days +23:59:27.020503552,2025-08-31 11:49:00,2025-08-31 12:08:22.049983,0 days 00:19:22.049983,19.367499716666668
2025-192 ,2460918.99,2025 Aug 31 1149:00,Falcon 9,FT5,xxx/B1077.23 F526,Starlink-299,Starlink Group 10-14,V2MO 10-14,-,CC,LC40,-,-,      -, ,    -, ,-,16.1,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.46,-80.54,True,3.289410178177928,760.4827878789343,6.5045820971076935,0.2208124228755028,6.969521759239863e+16,5025.295472382657,3318819885352316.0,21.0,2,2025-08-31 12:28:35.022309632,0 days 00:39:35.022309632,2025-08-31 11:49:00,2025-08-31 12:48:30.051629,0 days 00:59:30.051629,59.500860483333334
