#Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,lat,lon,files,L,ime,SNR,distance,enhancement,enhancement_molno2,mean_signal,size,hour_after_launch,obs_time,time_delta
2023-140 ,2460198.03,2023 Sep 10 1247:00,Atlas V 551,G,AV-102,SILENT BARKER,SILENT BARKER,NROL-107,-,CC,SLC41,-,-,      -, ,    -, ,-,3.6,ULAL,OS,-,CG/G,Sat GEO O,Wire,-,-,28.46,-80.54,True,3.527329942977097,1674.7778777638855,8.360837346856178,0.21054230056354634,1.432167331465023e+17,10320.51514511474,4091906661328637.5,35.0,3,2023-09-10 12:59:03.144748032,0 days 00:12:03.144748032
2023-S44  ,2460232.17,2023 Oct 14 1600,Black Brant IX,-,NASA 36.386HE,APEP Apophis 1,-,-,-,WS,-,-,-,    346,?,    -, ,-,0.0,GSFC,SS,-,ERAU/Barjatya,Eclipse,www.nasa.gov,-,-,32.4,-106.53,True,4.652936493575919,777.9488028519345,5.5593471504868335,0.2467527555873353,5.233356908537779e+16,3634.2444568549085,2754398372914620.5,19.0,1,2023-10-14 16:54:53.151873024,0 days 00:54:53.151873024
2023-S45  ,2460232.19,2023 Oct 14 1635,Black Brant IX,-,NASA 36.387HE,APEP Apophis 2,-,-,-,WS,-,-,-,    346,?,    -, ,-,0.0,GSFC,SS,-,ERAU/Barjatya,Eclipse,www.nasa.gov,-,-,32.4,-106.53,True,4.757369976081816,795.4095833300885,5.5593471504868335,0.2467527555873353,5.233356908537779e+16,3634.2444568549085,2754398372914620.5,19.0,1,2023-10-14 16:54:53.151873024,0 days 00:19:53.151873024
2023-174 ,2460260.28,2023 Nov 11 1849:00,Falcon 9,FT5,272/B1071.12 F273,Transporter-9,Transporter-9,-,-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,2.635,SPX,OS,-,C,Sat SSO D,Wire,-,-,34.63,-120.61,True,3.9088716860342734,3829.2561299373806,6.569154234472534,0.02776307675974809,3.150928438401208e+17,21293.803732090688,3842595656586839.5,82.0,1,2023-11-11 18:30:51.147802112,-1 days +23:41:51.147802112
2023-F11  ,2460267.04,2023 Nov 18 1302:53?,Starship V1.0,-,B09/S25,Starship Flight 2,Ship 25,-,-,STB,OLP1,-,-,    148, ,    -, ,-,120.0,SPX,OF,S2U,C,Sat LEO S,nasaspaceflight.com,-,"St 2 underburn,destruct",25.9964,-97.1536,True,1.0222860759959569,3076.4813772166863,9.685040900218105,0.1778995976907177,8.847470007895293e+17,65414.20835162659,7311958684210986.0,121.0,2,2023-11-18 13:51:54.147196928,0 days 00:49:01.147196928
2023-F11  ,2460267.04,2023 Nov 18 1302:53?,Starship V1.0,-,B09/S25,Starship Flight 2,Ship 25,-,-,STB,OLP1,-,-,    148, ,    -, ,-,120.0,SPX,OF,S2U,C,Sat LEO S,nasaspaceflight.com,-,"St 2 underburn,destruct",25.9964,-97.1536,True,1.0222860759959569,208.38638780371627,6.765968155371545,0.1775748997888128,6.011597024115751e+16,4430.851000881925,5465088203741592.0,11.0,3,2023-11-18 14:31:59.137027072,0 days 01:29:06.137027072
2023-185 ,2460280.26,2023 Dec  1 1819,Falcon 9,FT5,279/B1061.17 F279,Project 425,Korea 425,-,-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,1.857,SPX,OS,-,C/OG,Sat SSO D,Wire,-,-,34.63,-120.61,True,2.626324628201956,551.4102024195419,5.52886293275552,0.2484667768233974,6.769438275248739e+16,4563.6952517326,2183689766209270.8,31.0,1,2023-12-01 18:57:51.152638976,0 days 00:38:51.152638976
2024-041 ,2460370.15,2024 Feb 29 1530:00,Falcon 9,FT5,306/B1076.11 F305,Starlink-144,Starlink Group 6-40,V2M  6-40 (23 Ku),-,CC,LC40,-,-,      -, ,    -, ,-,17.25,SPX,OS,-,C,Sat LEO D,Wire,-,-,28.46,-80.54,True,3.70026916876512,1129.1586144925393,7.4145783483035235,0.1633514874014009,9.197351133300718e+16,6633.0287540914715,7074885487154399.0,13.0,2,2024-02-29 16:21:42.139034112,0 days 00:51:42.139034112
2024-043 ,2460374.42,2024 Mar  4 2205:00,Falcon 9,FT5,307/B1081.5  F307,Transporter-10,Transporter-10,-,-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,4.232,SPX,OS,-,C,Sat SSO D,Wire,-,-,34.63,-120.61,True,2.7610929110644165,553.983123735746,6.016472020702021,0.16196103122541813,6.462153303496056e+16,4361.197543270106,3231076651748028.0,20.0,1,2024-03-04 22:50:52.144293120,0 days 00:45:52.144293120
2024-054 ,2460391.37,2024 Mar 21 2055:09,Falcon 9,FT5,311/B1080.6  F313,Dragon CRS-30,Dragon C209.4,-,-,CC,LC40,-,-,      -, ,    -, ,-,17.87,SPX,OS,-,CX,Sat ISS D,Wire,-,-,28.46,-80.54,True,3.203483545146165,1226.2636817502867,6.75903276555842,0.1201914941762904,1.1537085246953291e+17,8320.541926336215,3978305257570100.5,29.0,1,2024-03-21 20:46:18.141458944,-1 days +23:51:09.141458944
2024-059 ,2460400.41,2024 Mar 30 2152:00,Falcon 9,FT5,316/B1076.12 F316,EUTELSAT 36D,EUTELSAT 36D,-,-,KSC,LC39A,-,-,      -, ,    -, ,-,5.0,SPX,OS,-,C,Sat STO O,Wire,-,-,28.6083,-80.6041,True,2.786130903922261,1287.0254252079835,7.487203422704182,0.06905367887860896,1.3928703549089758e+17,10040.97426258688,4096677514438164.0,34.0,1,2024-03-30 21:43:35.122939136,-1 days +23:51:35.122939136
2024-067 ,2460410.2,2024 Apr  9 1653,Delta 4H,B,D4-45/D389,USA 353,ORION 12?,NROL-70,-,CC,SLC37B,-,-,      -, ,    -, ,-,5.0,ULAB,OS,-,CG/G,Sat GEO O,Wire,-,-,28.46,-80.54,True,3.476379160830184,2046.4311146375233,7.820970237759448,0.2500285017295648,1.775588987590402e+17,12795.587688050102,4330704847781468.0,41.0,2,2024-04-09 17:10:42.143865088,0 days 00:17:42.143865088
2024-081 ,2460433.27,2024 May  2 1836,Falcon 9,FT5,324/B1061.20 F330,WV Legion 1/2,Maxar 1,-,-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,1.4,SPX,OS,-,C,Sat SSO D,Wire,-,-,34.63,-120.61,True,2.2683330968345103,2439.6217371515595,6.035785478768912,0.058811746273346246,3.457565298694356e+17,23377.922235386035,3059792299729518.5,113.0,1,2024-05-02 18:02:19.146555904,-1 days +23:26:19.146555904
2024-081 ,2460433.27,2024 May  2 1836,Falcon 9,FT5,324/B1061.20 F330,WV Legion 1/2,Maxar 1,-,-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,1.4,SPX,OS,-,C,Sat SSO D,Wire,-,-,34.63,-120.61,True,2.2683330968345103,568.0998394022708,5.714134499454797,0.15597351257051698,8.052391446656314e+16,5443.874214282142,2776686705743556.5,29.0,2,2024-05-02 19:02:19.142617856,0 days 00:26:19.142617856
2024-084 ,2460437.26,2024 May  6 1814:00,Falcon 9,FT5,335/B1069.15 F332,Starlink-163,Starlink Group 6-57,V2M  6-57 (23 Ku),-,CC,LC40,-,-,      -, ,    -, ,-,17.25,SPX,OS,-,C,Sat LEO D,Wire,-,-,28.46,-80.54,True,2.7391693887681496,951.3041807103832,7.001498066288771,0.1274062598367099,1.0467770454271755e+17,7549.023209907892,4187108181708702.0,25.0,1,2024-05-06 18:01:59.149463040,-1 days +23:47:59.149463040
2024-084 ,2460437.26,2024 May  6 1814:00,Falcon 9,FT5,335/B1069.15 F332,Starlink-163,Starlink Group 6-57,V2M  6-57 (23 Ku),-,CC,LC40,-,-,      -, ,    -, ,-,17.25,SPX,OS,-,C,Sat LEO D,Wire,-,-,28.46,-80.54,True,2.7391693887681496,525.5012305402497,6.339361536200251,0.07639631169246514,5.778428710144756e+16,4170.0867783647755,3852285806763170.5,15.0,2,2024-05-06 19:01:59.148785152,0 days 00:47:59.148785152
2024-086 ,2460439.28,2024 May  8 1842:00,Falcon 9,FT5,334/B1083.3  F333,Starlink-164,Starlink Group 6-56,V2M  6-56 (23 Ku),-,KSC,LC39A,-,-,      -, ,    -, ,-,17.25,SPX,OS,-,C,Sat LEO D,Wire,-,-,28.6083,-80.6041,True,3.3122496221226516,1316.1062226925321,7.340269914272605,0.06189214363668304,1.1985094506888304e+17,8636.904712140846,5447770230403775.0,22.0,2,2024-05-08 19:01:52.155646976,0 days 00:19:52.155646976
2024-109 ,2460467.12,2024 Jun  5 1452:15,Atlas V N22,-,AV-085,Starliner CFT,Starliner SC3,-,-,CC,SLC41,-,-,      -, ,    -, ,-,12.0,ULAL,OS,-,CX/C,Sat ISS D,Wire,-,-,28.46,-80.54,True,2.849637138280859,899.4655972539779,6.111226016314019,0.14794959962098164,9.511773294426325e+16,6860.965568820783,3658374344010125.0,26.0,2,2024-06-05 15:09:57.154941952,0 days 00:17:42.154941952
2024-109 ,2460467.12,2024 Jun  5 1452:15,Atlas V N22,-,AV-085,Starliner CFT,Starliner SC3,-,-,CC,SLC41,-,-,      -, ,    -, ,-,12.0,ULAL,OS,-,CX/C,Sat ISS D,Wire,-,-,28.46,-80.54,True,2.849637138280859,915.7818509431202,7.936568203631663,0.23593758029248224,9.685496892194736e+16,6985.423085723167,4211085605302059.0,23.0,3,2024-06-05 16:09:57.151315968,0 days 01:17:42.151315968
2024-S37  ,2460470.14,2024 Jun  8 1526:30,Spaceship Two,-,VSS Unity,WK2-xxx/VG-032,Galactic 07,N202VG-032,WK2,SPAM,RW16/34,SPAM,EBR P3,     87,?,    -, ,SPAM,0.0,VGX,SS,-,VGX/,-,twitter.com,-,-,32.99,-106.97,True,2.64299385156697,458.66942703035824,6.433334807727962,0.16929269650805007,5.465762980984079e+16,3772.1928273070357,5465762980984079.0,10.0,3,2024-06-08 17:10:09.140197888,0 days 01:43:39.140197888
2024-U04  ,2460597.02,2024 Oct 13 1225:00,Starship V1.0,-,B12/S30,Starship Flight 5,Ship 30,-,-,STB,OLP1,-,-,    213, ,    -, ,-,120.0,SPX,OS,-,C,Sat LEO S,nasaspaceflight.com,-,-,25.9964,-97.1536,True,1.00005628497324,1193.1320355933963,6.954720131657853,0.18840863373789496,3.515808089217299e+17,25933.092433911785,4185485820496785.0,84.0,2,2024-10-13 13:14:46.142352128,0 days 00:49:46.142352128
2024-U04  ,2460597.02,2024 Oct 13 1225:00,Starship V1.0,-,B12/S30,Starship Flight 5,Ship 30,-,-,STB,OLP1,-,-,    213, ,    -, ,-,120.0,SPX,OS,-,C,Sat LEO S,nasaspaceflight.com,-,-,25.9964,-97.1536,True,1.00005628497324,510.8004133995578,7.649190286839922,0.20787231932026973,1.5053414437373037e+17,11102.40437839133,4181504010381399.0,36.0,3,2024-10-13 13:54:51.146076928,0 days 01:29:51.146076928
2024-182 ,2460598.17,2024 Oct 14 1606:00,Falcon Heavy,-,011/B1089.1,Europa Clipper,Europa Clipper,"B1064.6,B1065.6",-,KSC,LC39A,-,-,      -, ,    -, ,-,5.7,SPX,DS,-,CX/G,Sat EEO E,SpaceX,-,-,28.6083,-80.6041,True,4.234157673028788,6155.435562376582,7.219593734287294,0.20629268480157378,4.376733392112996e+17,31599.63075073187,4917677968666287.0,89.0,1,2024-10-14 16:54:37.147229952,0 days 00:48:37.147229952
2024-192 ,2460608.22,2024 Oct 24 1714,Falcon 9,FT5,382/B1063.21 F386,NROL-167,NRO Starshield A4,NRO PA04 (17),-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,15.5,SPX,OS,-,CX/G,Sat LEO D,SpaceX,-,-,34.63,-120.61,True,3.7115897116899466,1205.313927632623,5.960322154778859,0.13910050641826663,1.0444068540184896e+17,7058.7931836509615,3369054367801579.5,31.0,1,2024-10-24 17:52:52.022741504,0 days 00:38:52.022741504
2024-192 ,2460608.22,2024 Oct 24 1714,Falcon 9,FT5,382/B1063.21 F386,NROL-167,NRO Starshield A4,NRO PA04 (17),-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,15.5,SPX,OS,-,CX/G,Sat LEO D,SpaceX,-,-,34.63,-120.61,True,3.7115897116899466,478.2155128035059,5.6947506731298505,0.2795291837397525,4.15484165113862e+16,2800.6184320160105,2967744036527585.5,14.0,2,2024-10-24 18:52:52.027792640,0 days 01:38:52.027792640
2024-192 ,2460608.22,2024 Oct 24 1714,Falcon 9,FT5,382/B1063.21 F386,NROL-167,NRO Starshield A4,NRO PA04 (17),-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,15.5,SPX,OS,-,CX/G,Sat LEO D,SpaceX,-,-,34.63,-120.61,True,3.7115897116899466,555.8818490701137,6.369660517746974,0.2938825384720408,4.80470841171803e+16,3255.463093202879,3002942757323769.0,16.0,3,2024-10-24 19:52:52.033610496,0 days 02:38:52.033610496
2024-206 ,2460626.22,2024 Nov 11 1722,Falcon 9,FT5,398/B1067.23 F393,Koreasat-6A,Koreasat-6A,-,-,KSC,LC39A,-,-,      -, ,    -, ,-,3.5,SPX,OS,-,C,Sat GTO O,SpaceX,-,-,28.6083,-80.6041,True,5.141888465665927,2513.160684020695,5.8907107361074775,0.05007962945390061,1.4732464557888614e+17,10623.994810804446,5666332522264852.0,26.0,1,2024-11-11 17:22:51.029612544,0 days 00:00:51.029612544
2024-206 ,2460626.22,2024 Nov 11 1722,Falcon 9,FT5,398/B1067.23 F393,Koreasat-6A,Koreasat-6A,-,-,KSC,LC39A,-,-,      -, ,    -, ,-,3.5,SPX,OS,-,C,Sat GTO O,SpaceX,-,-,28.6083,-80.6041,True,5.141888465665927,3018.511167931013,6.789875756414707,0.17147881486975874,1.7670427871667978e+17,12760.285161372627,5354675112626660.0,33.0,2,2024-11-11 18:22:51.023340800,0 days 01:00:51.023340800
2024-210 ,2460629.06,2024 Nov 14 1321:00,Falcon 9,FT5,399/B1076.18 F396,Starlink-208,Starlink Group 6-68,V2M  6-68 (24 Ku),-,CC,LC40,-,-,      -, ,    -, ,-,17.5,SPX,OS,-,C,Sat LEO D,Wire,-,-,28.46,-80.54,True,3.780480002652719,944.7106278295854,6.003375501834607,0.2000173795051,7.534953754407155e+16,5431.779114654651,4186085419115086.0,18.0,2,2024-11-14 13:43:12.033726720,0 days 00:22:12.033726720
2024-216 ,2460636.17,2024 Nov 21 1607:50,Falcon 9,FT5,387/B1069.20 F400,Starlink-210,Starlink Group 6-66,V2M  6-66 (24 Ku),-,CC,LC40,-,-,      -, ,    -, ,-,17.5,SPX,OS,-,C,Sat LEO D,Wire,-,-,28.46,-80.54,True,4.847069338899288,3386.6071611537113,5.98487831704259,0.13892132059872042,2.1011099843536397e+17,15187.134347640607,4775249964440090.0,44.0,1,2024-11-21 16:30:48.023795712,0 days 00:22:58.023795712
